zip,fips,state,county,population
1002,25015,MA,Hampshire,158180
1085,25013,MA,Hampden,462760
1201,25003,MA,Berkshire,127932
1301,25011,MA,Franklin,69941
1453,25027,MA,Worcester,861635
1960,25009,MA,Essex,807230
2148,25017,MA,Middlesex,1613655
2151,25025,MA,Suffolk,777732
2169,25021,MA,Norfolk,737720
2301,25023,MA,Plymouth,529859
2536,25001,MA,Barnstable,231302
2554,25019,MA,Nantucket,14299
2568,25007,MA,Dukes,21552
2780,25005,MA,Bristol,578416
2809,44001,RI,Bristol,50568
2816,44003,RI,Kent,170588
2840,44005,RI,Newport,85095
2852,44009,RI,Washington,130073
2860,44007,RI,Providence,659067
3038,33015,NH,Rockingham,317163
3103,33011,NH,Hillsborough,424776
3246,33001,NH,Belknap,60183
3301,33013,NH,Merrimack,159184
3431,33005,NH,Cheshire,77660
3570,33007,NH,Coos,31437
3743,33019,NH,Sullivan,42687
3766,33009,NH,Grafton,91815
3820,33017,NH,Strafford,132110
3894,33003,NH,Carroll,50892
4005,23031,ME,York,214731
4103,23005,ME,Cumberland,306413
4240,23001,ME,Androscoggin,112323
4270,23017,ME,Oxford,59019
4401,23019,ME,Penobscot,145362
4426,23021,ME,Piscataquis,21390
4530,23023,ME,Sagadahoc,37093
4572,23015,ME,Lincoln,35840
4605,23009,ME,Hancock,59374
4654,23029,ME,Washington,31623
4730,23003,ME,Aroostook,67747
4841,23013,ME,Knox,40860
4901,23011,ME,Kennebec,125584
4915,23027,ME,Waldo,40036
4938,23007,ME,Franklin,29308
4976,23025,ME,Somerset,50624
5001,50027,VT,Windsor,58590
5060,50017,VT,Orange,30253
5201,50003,VT,Bennington,36819
5301,50025,VT,Windham,45523
5401,50007,VT,Chittenden,171272
5458,50013,VT,Grand Isle,7393
5478,50011,VT,Franklin,46669
5641,50023,VT,Washington,60133
5661,50015,VT,Lamoille,27175
5701,50021,VT,Rutland,61667
5753,50001,VT,Addison,36256
5819,50005,VT,Caledonia,29480
5855,50019,VT,Orleans,27593
5906,50009,VT,Essex,6431
6010,9003,CT,Hartford,815238
6066,9013,CT,Tolland,154185
6226,9015,CT,Windham,115737
6360,9011,CT,New London,269015
6457,9007,CT,Middlesex,164337
6516,9009,CT,New Haven,862028
6790,9005,CT,Litchfield,183807
6902,9001,CT,Fairfield,1034001
7055,34031,NJ,Passaic,517129
7083,34039,NJ,Union,595145
7111,34013,NJ,Essex,855186
7305,34017,NJ,Hudson,710478
7601,34003,NJ,Bergen,954717
7728,34025,NJ,Monmouth,627831
7840,34041,NJ,Warren,116078
7860,34037,NJ,Sussex,146207
7960,34027,NJ,Morris,499633
8053,34005,NJ,Burlington,460002
8069,34033,NJ,Salem,66086
8081,34007,NJ,Camden,538092
8094,34015,NJ,Gloucester,286206
8210,34009,NJ,Cape May,96045
8234,34001,NJ,Atlantic,272775
8302,34011,NJ,Cumberland,157774
8540,34021,NJ,Mercer,393958
8701,34029,NJ,Ocean,644819
8822,34019,NJ,Hunterdon,132353
8854,34023,NJ,Middlesex,871399
8873,34035,NJ,Somerset,325101
10025,36061,NY,New York,1617259
10314,36085,NY,Richmond,492734
10467,36005,NY,Bronx,1426241
10541,36079,NY,Putnam,99034
10701,36119,NY,Westchester,995311
10950,36071,NY,Orange,392790
10977,36087,NY,Rockland,338936
11208,36047,NY,Kings,2646164
11368,36081,NY,Queens,2327864
11550,36059,NY,Nassau,1367166
11706,36103,NY,Suffolk,1470036
12010,36057,NY,Montgomery,51662
