CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,fips_state_str,fips_place_str,fips_combined,msa,msa_name,fipstate,fipscty,county_name
10100,"Aberdeen, SD",Micropolitan Statistical Area,Aberdeen,46,100,46,100,46100,10100,"Aberdeen, SD Micro Area",46.0,13.0,"Brown County, South Dakota"
10100,"Aberdeen, SD",Micropolitan Statistical Area,Aberdeen,46,100,46,100,46100,10100,"Aberdeen, SD Micro Area",46.0,45.0,"Edmunds County, South Dakota"
10140,"Aberdeen, WA",Micropolitan Statistical Area,Aberdeen,53,100,53,100,53100,10140,"Aberdeen, WA Micro Area",53.0,27.0,"Grays Harbor County, Washington"
10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,48,1000,48,1000,481000,10180,"Abilene, TX Metro Area",48.0,59.0,"Callahan County, Texas"
10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,48,1000,48,1000,481000,10180,"Abilene, TX Metro Area",48.0,253.0,"Jones County, Texas"
10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,48,1000,48,1000,481000,10180,"Abilene, TX Metro Area",48.0,441.0,"Taylor County, Texas"
10220,"Ada, OK",Micropolitan Statistical Area,Ada,40,200,40,200,40200,10220,"Ada, OK Micro Area",40.0,123.0,"Pontotoc County, Oklahoma"
10300,"Adrian, MI",Micropolitan Statistical Area,Adrian,26,440,26,440,26440,10300,"Adrian, MI Micro Area",26.0,91.0,"Lenawee County, Michigan"
10380,"Aguadilla, PR",Metropolitan Statistical Area,Aguadilla,72,745,72,745,72745,,,,,
10420,"Akron, OH",Metropolitan Statistical Area,Akron,39,1000,39,1000,391000,10420,"Akron, OH Metro Area",39.0,133.0,"Portage County, Ohio"
10420,"Akron, OH",Metropolitan Statistical Area,Akron,39,1000,39,1000,391000,10420,"Akron, OH Metro Area",39.0,153.0,"Summit County, Ohio"
10460,"Alamogordo, NM",Micropolitan Statistical Area,Alamogordo,35,1780,35,1780,351780,10460,"Alamogordo, NM Micro Area",35.0,35.0,"Otero County, New Mexico"
10480,"Alamosa, CO",Micropolitan Statistical Area,Alamosa,8,1090,08,1090,081090,10480,"Alamosa, CO Micro Area",8.0,3.0,"Alamosa County, Colorado"
10480,"Alamosa, CO",Micropolitan Statistical Area,Alamosa,8,1090,08,1090,081090,10480,"Alamosa, CO Micro Area",8.0,21.0,"Conejos County, Colorado"
10480,"Alamosa, CO",Micropolitan Statistical Area,Alamosa,8,1090,08,1090,081090,10480,"Alamosa, CO Micro Area",8.0,23.0,"Costilla County, Colorado"
